,User_Age,Income,Child_Count,Day_Cnt,Recency,Marital_Status_Joined,Education_Graduate,Education_Postgraduate,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Purchases_Z1,Purchases_Z2,Purchases_Z3
19,60,40689.0,1,169.0,69,1,1,0,270,3,27,39,6,99,0,0,0,0,0,0,0,444,0.5523995548745211,2.7963322858604855,0.42701390617107365
20,63,18589.0,1,468.0,89,0,1,0,6,4,25,15,12,13,0,0,0,0,0,0,0,75,1.4275972891647424,-0.21106642238380816,0.039341781135134
21,45,53359.0,0,543.0,4,1,1,0,173,4,30,3,6,41,0,0,0,0,0,0,0,257,0.8155243269490116,1.0893895465704548,0.02124823957488716
22,38,38360.0,2,398.0,26,1,1,0,36,2,42,20,21,10,0,0,0,0,0,0,0,131,0.5124931226890274,-0.9870984971302982,0.5056609804175329
23,25,10979.0,1,394.0,34,0,0,1,8,4,10,2,2,4,0,0,0,0,0,0,0,30,1.0922192823761727,-0.4282746642648918,-0.04400360145987547
24,49,38620.0,0,219.0,56,1,0,1,112,17,44,34,22,89,0,0,0,0,0,0,0,318,-0.08173778781612652,-1.4714895513833854,0.6940641620403982
25,25,40548.0,0,38.0,31,1,1,0,110,0,5,2,0,3,0,1,0,0,0,0,0,120,0.8838012879972913,-0.5803971810637946,0.2524677422249158
26,51,46610.0,0,414.0,8,0,0,1,96,12,96,33,22,43,0,0,0,0,0,0,1,302,0.45824811928457004,1.5384148653078136,0.9528343751784288
27,44,68657.0,1,627.0,4,1,0,1,482,34,471,119,68,22,0,0,0,0,0,0,0,1196,-0.5272831406208751,-0.2625009375387326,-0.26851356075442756
28,62,49389.0,2,608.0,55,0,0,1,40,0,19,2,1,3,0,0,0,0,0,0,0,65,1.6067026767296324,-0.5674347352859898,-0.41607749932007654
29,68,67353.0,0,494.0,37,1,0,1,702,17,151,0,8,35,0,0,0,0,0,0,0,913,-2.4284134679034213,0.6554472812270041,1.2721165466691498
30,63,23718.0,2,304.0,76,1,0,0,6,3,14,15,7,36,0,0,0,0,0,0,0,81,1.4569098959787343,0.29742440731727643,0.19828971790555322
31,44,42429.0,1,180.0,99,0,1,0,55,0,6,2,0,4,0,0,0,0,0,0,0,67,1.2095237921226312,-0.7891303758428543,0.5083226031203302
32,38,48948.0,1,300.0,53,0,0,1,437,8,206,160,49,42,1,0,0,0,0,0,1,902,-1.5716892476111408,0.3539632901827872,0.09362526001830997
33,71,20559.0,0,513.0,88,1,0,1,13,1,29,3,0,7,0,0,0,0,0,0,0,53,1.8024161986047205,0.010414672442321297,-0.2080058749562225
34,34,21994.0,1,426.0,4,1,1,0,9,0,6,3,1,3,0,0,0,0,0,0,0,22,1.5418638479536724,-1.3168613261375786,0.2686909064576988
35,29,7500.0,1,474.0,19,1,0,1,3,1,10,3,2,12,0,0,0,0,0,0,0,31,1.255513389863281,-0.22513855196237512,0.506452225792866
36,55,7500.0,0,236.0,24,1,0,0,3,18,14,15,22,50,0,0,0,0,0,0,1,122,1.6557302254278108,0.7414962807702973,-0.0949707973898996
37,39,41728.0,1,270.0,92,1,1,0,13,6,15,3,5,13,0,0,0,0,0,0,0,55,2.336152760551215,0.00524668142724834,-0.7558000795061666
38,38,72550.0,0,1.0,39,1,0,1,826,50,317,50,38,38,0,0,0,0,0,0,0,1319,-0.5175919079514195,3.446067975378263,1.368205657951756
39,18,65486.0,0,597.0,29,0,1,0,245,19,125,37,67,14,0,0,0,0,0,0,0,507,-1.2137815776593357,-1.0161297225472992,-0.2536384371534428
40,63,35790.0,3,179.0,54,0,1,0,12,6,20,30,1,3,0,0,0,0,0,0,0,72,1.6167621159505885,-0.19293598559093042,-0.08140925585991395
41,57,66373.0,1,48.0,57,1,1,0,328,9,124,12,24,109,0,0,0,0,0,0,0,606,-0.967770859679465,1.4342134336563086,1.6277744045112237
42,37,70287.0,1,543.0,30,0,1,0,295,35,482,121,120,40,0,0,0,0,0,0,1,1093,-1.7488566436288946,-0.695807737500138,-0.23376952905718626
43,37,27938.0,0,22.0,31,0,1,0,13,0,8,2,1,5,0,0,0,0,0,0,0,29,0.8448331785200692,-1.514829447425022,0.26602928375490115
44,36,55954.0,2,382.0,63,1,0,1,447,0,28,0,0,43,0,0,0,0,0,0,0,518,-0.18837961557462232,1.2855893870331792,-0.9201662724736344
45,59,75777.0,0,587.0,12,0,0,1,712,26,538,69,13,80,0,1,1,0,0,0,1,1438,-2.1753481350498873,-1.4259942077580863,0.5316826366128011
46,48,66653.0,0,453.0,18,1,1,0,452,18,102,16,18,6,0,0,0,0,0,0,0,612,-1.342924849060709,0.38545829934416503,0.5436351199250655
47,26,61823.0,1,62.0,26,0,1,0,523,7,134,37,14,169,0,0,0,0,0,0,0,884,-0.8682715197904153,1.809570366274307,-0.7457671374248133
48,32,67680.0,1,377.0,8,0,0,1,546,0,48,0,6,6,0,0,0,0,0,0,0,606,-0.9607124895628677,0.01513861216417127,-1.0799054546193863
49,46,70666.0,1,118.0,29,1,1,0,398,40,367,119,122,30,0,0,0,0,0,0,0,1076,-0.6455800555660964,-0.3558247122080269,-0.6722886901166882
50,32,25721.0,0,360.0,75,1,1,0,1,3,6,3,6,15,0,0,0,0,0,0,1,34,1.7432603540691252,-0.7942983668579268,-0.039471601429614395
51,39,32474.0,2,660.0,0,1,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,11,1.9324251808549717,-0.7761679300650492,-0.1602226384246622
52,63,69096.0,1,383.0,4,1,1,0,247,49,159,7,82,109,0,0,0,0,0,0,0,653,-0.9957080806172239,-0.4380657690882532,-0.722619259138639
53,66,74854.0,0,205.0,90,1,1,0,856,59,487,58,29,73,0,0,0,0,0,0,0,1562,0.004951341099501358,1.2569453776265087,2.3687458304030855
54,43,66991.0,1,404.0,1,1,0,1,496,36,460,189,60,12,0,0,0,0,0,0,0,1253,-1.4530462338416186,-0.32204641542726353,1.1738767610522032
55,47,65031.0,2,49.0,29,1,1,0,258,107,291,84,37,86,0,0,0,0,0,0,0,863,-1.8813691906861283,2.246276876426066,-1.1767930993234295
56,35,60631.0,1,102.0,88,1,0,1,565,6,65,0,6,19,0,1,0,0,0,0,0,661,-0.6664710771172361,2.280690638588874,-0.546751923551559
57,56,28332.0,1,275.0,58,1,1,0,14,10,13,4,15,9,0,0,0,0,0,0,0,65,0.316779600813939,-1.5649479048586092,0.29758935605367925
58,44,40246.0,3,447.0,68,0,1,0,2,1,6,2,1,1,0,0,0,0,0,0,0,13,1.7467710982008398,-0.979518588098301,-0.03362601932835367
59,41,75825.0,1,653.0,40,0,1,0,1032,105,779,137,105,51,1,0,0,0,0,0,1,2209,-1.9682686446940705,-0.958717696927096,-0.2927140035256779
60,55,26326.0,1,469.0,12,1,0,0,1,0,5,0,3,9,0,0,0,0,0,1,0,18,1.1705556826454089,-1.723562642204082,0.5218841446503156
61,39,56046.0,2,450.0,9,1,1,0,577,0,64,0,0,51,1,0,0,0,0,0,1,692,-0.47506515360627977,1.5500381217223682,-2.013891893815982
62,62,29760.0,0,60.0,87,0,1,0,64,4,68,7,5,17,0,0,0,0,0,0,0,165,1.3076477461354477,0.9500149298186216,0.32622678806373656
63,37,26304.0,1,557.0,5,1,1,0,4,1,5,2,0,4,0,0,0,0,0,0,0,16,1.9324251808549717,-0.7761679300650492,-0.1602226384246622
64,42,23559.0,0,671.0,87,1,0,0,25,5,19,7,0,23,0,0,0,0,0,0,0,79,1.473586886905393,0.352925401496671,0.03747140380766988
65,38,38620.0,0,625.0,56,1,0,1,112,17,44,34,22,89,0,0,0,0,0,0,0,318,-0.08173778781612652,-1.4714895513833854,0.6940641620403982
66,38,81361.0,0,298.0,18,0,1,0,163,23,424,27,65,76,0,0,0,0,0,0,0,778,-3.276983113911647,-1.4237748401565626,0.9345522303873223
67,49,29440.0,0,543.0,95,1,1,0,17,8,14,10,4,3,0,0,0,0,0,0,0,56,1.5975089483575533,-0.32692806559695575,0.09431105082982948
68,29,36138.0,1,669.0,48,1,0,1,130,0,16,0,0,5,0,1,0,0,0,0,0,151,1.1320531027022724,1.1211630214804293,0.7874916506202075
69,45,50388.0,1,371.0,3,0,1,0,292,6,37,0,3,34,0,1,0,1,0,0,1,372,0.31731398696448465,1.3354932987360313,-0.2746738984233623
70,41,79593.0,1,361.0,70,1,1,0,350,60,568,110,133,145,0,0,1,0,0,0,0,1366,-1.6062120454913105,-1.0294005044858192,0.13377995834267647
71,51,54178.0,0,414.0,79,1,1,0,135,9,39,4,0,7,0,0,0,0,0,0,0,194,-0.04487306183109463,-1.5457077842649696,0.3782731159458918
72,27,42394.0,0,124.0,69,0,0,1,15,2,10,0,1,4,0,0,0,0,0,0,0,32,1.7599373449957845,-0.7387973726785322,-0.20028991552749761
73,54,23626.0,2,322.0,84,1,0,1,27,2,14,0,0,0,0,0,0,0,0,0,0,43,0.913113894811283,-0.07190635136271006,0.41141567899533493
74,44,30096.0,2,348.0,30,1,1,0,5,3,11,12,5,9,0,0,0,0,0,0,0,45,1.4210485940755002,-0.7707853933192419,-0.28948088022376783
75,57,47916.0,1,32.0,72,0,1,0,505,0,26,0,0,75,0,1,0,0,0,0,0,606,-0.5790098050923815,1.623612717411748,0.3330564913256744
76,41,51813.0,0,48.0,37,0,1,0,51,2,7,0,1,2,0,0,0,0,0,0,0,63,1.6167621159505885,-0.19293598559093042,-0.08140925585991395
77,57,50150.0,3,587.0,32,1,0,1,135,46,92,65,61,11,0,0,0,0,0,0,0,410,-0.2825310511645735,0.027671966480506287,-0.3943458034662788
78,57,47823.0,2,33.0,0,0,0,0,53,1,5,2,1,10,0,0,0,0,0,0,0,72,1.8024161986047205,0.010414672442321297,-0.2080058749562225
79,41,34554.0,0,218.0,43,0,0,1,41,1,6,2,0,5,0,0,0,0,0,0,0,55,1.431108033296457,-0.39628664362418214,0.045187363236394676
80,44,65846.0,1,36.0,68,1,0,1,562,81,276,80,40,81,0,0,0,0,0,0,0,1120,-0.6481562322324729,-0.4343157980346571,-0.6573866975248283
81,31,87195.0,1,38.0,35,1,1,0,217,76,690,50,26,38,0,0,0,0,0,0,1,1097,-2.0862452538239946,-1.7408697360415781,1.3758414842050537
82,54,24594.0,1,584.0,94,1,0,0,1,3,6,10,0,9,0,0,0,0,0,0,0,29,1.3886291796875208,-1.145498688745036,0.052903322665119545
83,42,49096.0,2,444.0,15,1,1,0,144,1,32,2,1,7,0,0,0,0,0,0,0,187,0.9687589952151637,0.9180269091779121,0.23703582336746618
84,63,52413.0,0,210.0,56,1,1,0,295,106,271,75,98,65,0,0,0,0,0,0,0,910,-1.4707615912023102,1.3019746746432497,-0.026227830958921856
85,31,38557.0,0,374.0,17,0,1,0,76,3,31,4,4,27,0,0,0,0,0,0,0,145,1.2743626208985903,-0.03970378499126597,-0.17644580265744475
86,55,77298.0,1,91.0,46,1,1,0,425,115,292,23,35,79,0,0,0,0,0,0,0,969,-2.26374397454008,-0.5052049795139558,-0.3688733529575527
87,35,68126.0,1,435.0,40,0,0,1,1332,17,311,23,51,86,0,1,0,0,0,0,1,1820,0.11020252184537582,0.6982991353447493,-1.3453390627010668
88,69,57288.0,0,408.0,27,1,0,1,527,0,21,0,0,60,0,1,0,0,0,0,0,608,-0.5298445431612828,1.1751102805658395,-0.9944552445780449
89,55,86037.0,0,52.0,95,0,1,0,490,44,125,29,20,22,0,1,1,0,0,0,1,730,-2.452908801325927,-0.5233354163068334,-0.24812231596250456
90,35,43974.0,1,201.0,19,1,0,1,378,0,101,0,0,72,0,0,0,0,0,0,0,551,-0.24012105417209745,1.6556007380524576,0.42224745602194413
91,50,50785.0,2,278.0,27,0,1,0,64,1,21,0,1,27,0,0,0,0,0,0,0,114,1.2419432065106102,-0.4144170804170598,0.16593840023144257
92,45,90765.0,2,512.0,25,1,1,0,547,99,812,151,82,33,0,0,1,1,0,0,0,1724,-1.303715227381872,-1.8533536643797068,0.22163047197707245
93,36,36550.0,1,557.0,74,1,0,0,47,90,94,123,103,120,0,0,0,0,0,0,0,577,0.411465422554436,2.593410719288704,-0.8004943674307178
94,54,30753.0,0,569.0,85,1,0,0,12,5,25,0,9,30,0,0,0,0,0,0,0,81,1.2095237921226312,-0.7891303758428543,0.5083226031203302
95,35,21918.0,1,239.0,37,1,1,0,1,6,7,11,5,3,0,0,0,0,0,0,0,33,1.431108033296457,-0.39628664362418214,0.045187363236394676
96,23,56129.0,0,596.0,65,1,0,1,320,48,133,39,72,48,0,0,0,0,0,0,0,660,-1.118764431220507,0.8567931173894674,0.06559788744926984
97,51,32557.0,1,4.0,13,0,0,1,34,3,29,0,4,10,0,0,0,0,0,0,1,80,1.0663485630774352,-0.24326898875525255,0.6272032627879139
98,23,19510.0,0,543.0,63,1,0,1,9,0,7,3,4,7,0,0,0,0,0,0,0,30,1.769996784216741,-0.36429862298347293,0.13437832793266505
99,34,30992.0,1,564.0,83,0,1,0,17,0,14,7,3,2,0,0,0,0,0,0,0,43,1.7599373449957845,-0.7387973726785322,-0.20028991552749761
100,52,101970.0,2,292.0,69,0,1,0,722,27,102,44,72,168,0,1,1,1,0,0,1,1135,-3.1827628217052357,-1.0445741460549884,-0.41557745753698117
101,44,71488.0,0,156.0,87,1,0,0,162,33,124,40,28,172,0,0,0,0,0,0,0,559,-1.0970076988204895,-1.1647168140233408,0.7851179144942093
102,47,54348.0,2,353.0,51,1,0,1,70,0,16,0,0,4,0,0,0,0,0,0,0,90,1.2586201974372695,-0.358916086237665,0.005120086133559241
103,45,77376.0,1,227.0,72,1,0,1,492,19,110,16,12,12,0,0,0,0,0,0,0,661,-1.307929258006353,0.8386626805965897,0.18634892444431775
104,61,62998.0,1,374.0,10,1,1,0,120,58,73,65,89,58,0,0,0,0,0,0,0,463,-0.285706715355022,1.040166227206895,0.9312955551099757
105,47,61331.0,1,125.0,42,0,0,1,534,5,47,0,5,41,0,0,0,0,0,0,0,632,-0.25314583249118766,2.770155893427054,-1.145540193022402
106,29,73448.0,2,298.0,10,1,1,0,236,106,189,23,41,130,0,0,0,0,0,0,0,725,-1.1296895812903407,-0.13271105168968575,-1.1141271496209615
107,38,41551.0,1,433.0,51,1,0,1,220,0,33,3,0,23,0,0,0,0,0,0,0,279,0.8387500129649126,1.704609511685283,0.18925258683590607
108,31,62981.0,0,474.0,21,1,0,1,796,14,590,38,44,0,0,1,0,0,0,0,0,1482,-2.1130854829403045,-0.7550587027331284,-0.13818377657311368
109,49,9548.0,0,496.0,31,0,0,0,0,1,3,10,6,9,0,0,0,0,0,0,0,29,1.955650866870873,-0.1609479649502212,0.007781708836356545
110,30,33762.0,0,434.0,61,1,0,1,53,1,34,2,0,16,0,0,0,0,0,0,0,106,1.6066338201131718,0.31128199116510796,0.40823171959687166
111,61,35860.0,2,21.0,37,0,0,1,15,0,8,4,2,20,1,0,0,0,0,0,1,49,1.382011627981818,-0.826500933229371,0.5483898802231654
112,53,36921.0,1,353.0,74,0,0,1,17,1,12,3,1,4,0,0,0,0,0,0,0,38,1.6167621159505885,-0.19293598559093042,-0.08140925585991395
113,62,65104.0,1,272.0,4,1,0,1,738,0,232,13,20,50,0,0,0,0,0,0,1,1053,-0.17224802968154396,0.03725669738329229,0.14628923691140563
114,45,68352.0,0,139.0,47,0,0,1,614,16,132,43,33,33,0,0,0,0,0,0,0,871,-1.458991686163855,1.1399590907808457,-0.5515183737006879
115,51,41883.0,1,322.0,13,1,1,0,32,34,41,73,16,116,0,0,0,0,0,0,0,312,0.9420225650675487,0.48802716530345813,0.06318589400518702
116,50,59809.0,2,319.0,36,1,1,0,598,16,141,32,41,49,0,0,0,0,0,0,0,877,0.5742829816244241,0.6139964213108414,0.1529260643879992
117,47,23957.0,0,469.0,47,1,1,0,2,1,18,20,11,16,0,0,0,0,0,0,1,68,1.4210485940755002,-0.7707853933192419,-0.28948088022376783
118,38,38547.0,1,690.0,49,1,1,0,6,1,10,0,1,4,0,0,0,0,0,1,0,22,2.1180792635091032,-0.5728172720317974,-0.286819257520971
119,55,35688.0,3,357.0,94,1,0,0,73,3,90,12,1,32,0,0,0,0,0,0,0,211,1.184591395532165,2.2448738162963413,1.1144439346516453
120,41,49605.0,2,41.0,65,1,0,1,42,16,29,12,20,8,0,0,0,0,0,0,0,127,0.502433683468071,-1.3615972468253577,0.17099273695737094
121,49,59354.0,2,336.0,59,1,0,1,295,21,78,39,13,13,0,0,0,0,0,0,0,459,-0.8889936409993342,-0.9611516102593541,-0.018531150951149145
122,22,65747.0,0,618.0,96,1,1,0,346,17,48,23,13,13,0,1,0,0,0,0,0,460,-0.17480943222195156,1.4748679154878646,-0.5796524469122115
123,38,46344.0,1,227.0,28,1,0,0,233,20,57,8,20,91,0,0,0,0,0,0,0,429,0.3365671545575199,1.4694853787420568,-0.4503942051131059
124,52,34176.0,0,436.0,12,0,1,0,5,7,24,19,14,20,0,0,0,0,0,0,0,89,1.1255044076130305,0.561444050544996,0.4586689892613056
125,40,61010.0,1,305.0,57,1,0,1,888,0,57,0,0,76,0,0,0,0,0,0,0,1021,-1.9996808797573182,0.6368507978255693,-0.8397245522702129
126,26,69372.0,1,467.0,10,1,1,0,997,26,269,34,13,42,0,1,1,0,0,0,1,1381,-1.4502597320829276,0.2330043147426349,-1.3997859957000958
127,38,49967.0,2,619.0,4,0,1,0,212,6,69,4,12,3,0,0,0,0,0,0,0,306,0.4797423836027156,0.9236239916544549,-0.5692748647806894
128,39,60199.0,1,609.0,49,0,1,0,8,1,7,2,0,0,0,0,0,0,0,0,0,18,1.3562097652995406,-1.5202119841708306,0.39528752555400753
129,33,55375.0,1,305.0,3,1,1,0,42,11,57,10,28,14,0,0,0,0,0,0,0,162,0.12503859736171657,-1.6615694274781174,0.4332423856405874
130,41,80317.0,3,676.0,64,0,1,0,536,11,387,149,91,57,0,0,0,0,0,0,0,1231,-1.6245306456190078,-1.4271038915588483,0.3302478397255406
131,48,30523.0,0,8.0,0,0,0,1,5,0,3,0,0,5,0,0,0,0,0,0,0,13,1.9324251808549717,-0.7761679300650492,-0.1602226384246622
132,61,70356.0,2,66.0,20,1,0,1,1349,16,249,43,16,33,0,0,0,0,0,0,0,1706,-1.964685288702962,1.0900551790779935,-1.1970107477509602
133,45,23228.0,1,114.0,91,1,1,0,53,3,49,7,4,5,0,0,0,0,0,0,0,121,1.496812572921294,0.9681453666114994,0.20547575106868837
134,42,74165.0,1,562.0,9,0,0,1,1001,12,240,16,12,12,0,0,0,0,0,0,0,1293,-1.7453458994971802,-0.881027958740512,-0.22792394695592555
135,62,43482.0,1,628.0,83,1,1,0,18,1,32,6,3,28,0,0,0,0,0,0,0,88,1.2686796366582258,0.015582663457393939,0.339788329593722
136,65,62551.0,0,495.0,27,0,1,0,125,16,98,134,21,27,1,0,0,0,0,0,0,421,-1.2454939503116147,-0.7849293180124537,0.03234862375734329
137,56,52332.0,1,356.0,63,0,1,0,212,5,33,7,0,2,0,1,0,0,0,0,0,259,0.0007125993518298329,-0.9302732734194067,-0.1307749831421395
138,37,26091.0,1,255.0,84,1,1,0,15,10,19,8,17,20,0,0,0,0,0,0,0,89,1.0663485630774352,-0.24326898875525255,0.6272032627879139
139,59,33456.0,0,313.0,58,1,1,0,7,3,10,8,1,7,0,0,0,0,0,0,0,36,1.769996784216741,-0.36429862298347293,0.13437832793266505
140,56,28718.0,3,363.0,78,1,1,0,12,4,6,11,8,16,0,0,0,0,0,0,0,57,1.8024161986047205,0.010414672442321297,-0.2080058749562225
141,69,50447.0,0,601.0,4,1,1,0,85,7,24,2,3,27,0,0,0,0,0,0,0,148,1.0786490990235018,-0.6175531927195768,-0.3845174270212986
142,30,53537.0,1,175.0,17,1,0,1,81,0,6,0,0,6,0,0,0,0,0,0,0,93,1.0562891238564784,-0.6177677384503119,0.2925350193277512
143,39,52074.0,0,424.0,77,0,1,0,59,0,12,0,0,48,1,0,0,0,0,0,0,119,0.8438986110547314,-1.2511181403580178,0.24528170906178084
144,41,80427.0,1,120.0,56,1,0,1,1149,71,449,69,71,26,0,0,0,0,0,0,0,1835,-2.519475296556707,0.6099369777699527,-1.339300604814462
145,48,83837.0,3,228.0,79,1,0,1,847,66,119,86,89,111,0,1,0,1,0,0,1,1318,-2.259526188672665,-0.08451150079369082,-0.41942491283439304
146,61,38853.0,0,223.0,90,1,0,1,29,0,14,0,0,2,0,0,0,0,0,0,0,45,1.6167621159505885,-0.19293598559093042,-0.08140925585991395
147,55,38285.0,0,305.0,96,1,1,0,2,0,5,2,0,1,0,0,0,0,0,0,0,10,0.9849015999912769,-1.9269133002373342,0.6484807637466246
148,57,51650.0,2,124.0,81,1,0,1,152,3,22,2,5,7,0,0,0,0,0,0,0,191,0.5672725122440304,-0.6121706559737692,-0.5137756688204043
149,49,16248.0,2,69.0,77,1,0,0,12,11,10,3,12,9,0,0,0,0,0,0,0,57,1.2520026457315672,-0.039918330722000656,0.5006066436916052
150,32,66835.0,1,351.0,21,1,0,1,620,26,195,34,17,141,0,0,0,0,0,0,0,1033,-2.416044075340895,-0.5975536491884185,-0.5639133620570106
151,44,30477.0,2,69.0,16,1,0,1,47,1,6,0,0,12,0,0,0,0,0,0,0,66,1.3851184355558062,-0.9602784675046618,0.04705774056385932
152,55,28249.0,2,150.0,80,1,0,0,1,9,7,2,14,10,0,0,0,0,0,0,0,43,1.4210485940755002,-0.7707853933192419,-0.28948088022376783
153,47,25271.0,1,86.0,45,1,1,0,10,1,18,10,4,7,0,0,0,0,0,0,0,50,2.1145685193773893,-0.38759705079142304,-0.2926648396222315
154,39,32303.0,1,655.0,63,0,0,1,35,0,2,0,0,2,0,0,0,0,0,0,0,39,1.2262007830492896,-0.733629381663459,0.34750428902244657
155,66,61286.0,0,560.0,34,1,1,0,356,0,107,19,9,117,0,0,0,0,0,0,0,608,-0.5723233967702189,0.42589823544498584,-0.98673928514932
156,44,74068.0,2,37.0,14,1,1,0,783,30,537,140,76,15,0,0,0,0,0,0,0,1581,-2.5546123560869183,-1.1985437742768377,0.7524371359097766
157,55,45759.0,3,5.0,13,1,0,1,42,1,18,3,0,4,0,0,0,0,0,0,0,68,1.6167621159505885,-0.19293598559093042,-0.08140925585991395
158,63,24882.0,0,210.0,52,1,0,0,1,4,10,29,0,36,1,0,0,0,0,0,0,80,1.5576062714149936,-0.9976490248911788,0.0871250176666945
159,38,66973.0,1,49.0,98,1,0,1,466,22,432,147,113,102,0,0,0,0,0,0,0,1282,-2.931865973717418,-0.1432395841352315,-0.7197647606504977
160,26,36640.0,1,50.0,99,0,0,0,15,6,8,7,4,25,0,0,0,0,0,1,0,65,1.2187175204947094,-1.0296370455318882,-0.00206594702957566
161,68,38872.0,0,274.0,93,1,1,0,23,3,21,3,19,22,0,0,0,0,0,0,0,91,1.6491815303385684,0.18177730983486343,-0.423793458748801
162,30,51148.0,1,158.0,38,1,1,0,235,6,45,8,9,12,0,0,0,0,0,0,0,315,0.2848945725765049,0.9607800033102372,0.06771030446552527
163,53,31353.0,0,14.0,24,1,1,0,10,0,10,3,1,7,0,0,0,0,0,0,0,31,1.938973875944214,-0.21644895912961568,0.16860002293423954
164,31,69661.0,1,571.0,80,1,0,1,656,16,106,32,16,8,0,0,0,0,0,0,0,834,-2.0219719983078814,-0.24208047435626373,-0.9869813248381103
165,38,46854.0,0,467.0,81,0,0,1,96,1,79,7,1,79,1,0,0,0,0,0,1,263,1.1937851239042436,2.0043671466073083,0.6040553845017387
166,50,69142.0,2,491.0,50,0,1,0,448,4,34,6,4,39,0,1,0,0,0,0,0,535,-0.5430107899562273,0.9343890651460702,-0.8277913483789007
167,25,63693.0,0,408.0,63,0,1,0,587,43,337,42,87,54,0,0,0,0,0,0,0,1150,-2.1078605177481577,1.635916566165595,-1.0781300880833764
168,26,40637.0,1,395.0,72,0,0,1,22,0,13,0,0,3,0,0,0,0,0,0,0,38,1.769996784216741,-0.36429862298347293,0.13437832793266505
169,41,18890.0,2,496.0,5,0,0,1,6,4,1,7,2,15,1,0,0,0,0,0,1,35,1.710840939681146,-1.1690116622837212,0.3029126014592735
170,37,29604.0,2,182.0,88,1,1,0,7,6,13,7,6,14,1,0,0,0,0,0,0,53,2.1312455103040486,-0.3320960566120287,-0.4534831537201148
