,ID,User_Age,Income,Child_Count,Day_Cnt,Recency,Marital_Status_Joined,Education_Graduate,Education_Postgraduate,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
22,4047,65,65324.0,1,553.0,0,1,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
23,1409,60,40689.0,1,169.0,69,1,1,0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
24,7892,63,18589.0,1,468.0,89,0,1,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
25,2404,45,53359.0,0,543.0,4,1,1,0,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
26,9422,38,38360.0,2,398.0,26,1,1,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
27,1966,28,84618.0,1,494.0,96,1,0,1,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0
28,6864,25,10979.0,1,394.0,34,0,0,1,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
29,3033,49,38620.0,0,219.0,56,1,0,1,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
30,5710,25,40548.0,0,38.0,31,1,1,0,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0
31,7373,51,46610.0,0,414.0,8,0,0,1,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1
32,8755,44,68657.0,1,627.0,4,1,0,1,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
33,10738,62,49389.0,2,608.0,55,0,0,1,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
34,4339,68,67353.0,0,494.0,37,1,0,1,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
35,10755,63,23718.0,2,304.0,76,1,0,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
36,8595,44,42429.0,1,180.0,99,0,1,0,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
37,2968,38,48948.0,1,300.0,53,0,0,1,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
38,8601,41,80011.0,1,138.0,3,1,1,0,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
39,503,71,20559.0,0,513.0,88,1,0,1,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
40,8430,34,21994.0,1,426.0,4,1,1,0,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
41,2139,29,7500.0,1,474.0,19,1,0,1,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
42,1371,57,79941.0,1,552.0,72,0,1,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
43,9909,55,7500.0,0,236.0,24,1,0,0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1
44,7286,39,41728.0,1,270.0,92,1,1,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
45,6566,38,72550.0,0,1.0,39,1,0,1,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
46,8614,18,65486.0,0,597.0,29,0,1,0,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
47,4114,46,79143.0,1,401.0,2,1,0,1,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
48,1331,63,35790.0,3,179.0,54,0,1,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
49,2225,60,82582.0,2,598.0,54,0,1,0,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1
50,9381,57,66373.0,1,48.0,57,1,1,0,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
51,6260,50,82384.0,0,687.0,55,1,0,1,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1
52,10383,37,70287.0,1,543.0,30,0,1,0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
53,7437,37,27938.0,0,22.0,31,0,1,0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
54,8375,36,55954.0,2,382.0,63,1,0,1,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
55,6853,59,75777.0,0,587.0,12,0,0,1,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1
56,3076,48,66653.0,0,453.0,18,1,1,0,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
57,1012,26,61823.0,1,62.0,26,0,1,0,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
58,6518,32,67680.0,1,377.0,8,0,0,1,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
59,4137,46,70666.0,1,118.0,29,1,1,0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
60,8082,32,25721.0,0,360.0,75,1,1,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1
61,1386,39,32474.0,2,660.0,0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
62,9369,62,88194.0,1,496.0,19,0,0,0,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1
63,4477,63,69096.0,1,383.0,4,1,1,0,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
64,1357,66,74854.0,0,205.0,90,1,1,0,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
65,1402,43,66991.0,1,404.0,1,1,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
66,6312,47,65031.0,2,49.0,29,1,1,0,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
67,8132,35,60631.0,1,102.0,88,1,0,1,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0
68,1050,56,28332.0,1,275.0,58,1,1,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
69,5846,44,40246.0,3,447.0,68,0,1,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0
70,1859,60,75251.0,0,656.0,34,1,0,1,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1
71,7503,41,75825.0,1,653.0,40,0,1,0,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1
72,10401,55,26326.0,1,469.0,12,1,0,0,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0
73,1618,39,56046.0,2,450.0,9,1,1,0,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1
74,3332,62,29760.0,0,60.0,87,0,1,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
75,2261,37,26304.0,1,557.0,5,1,1,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
76,5346,42,23559.0,0,671.0,87,1,0,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0
77,4119,38,38620.0,0,625.0,56,1,0,1,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
78,535,38,81361.0,0,298.0,18,0,1,0,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
79,5268,49,29440.0,0,543.0,95,1,1,0,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
80,273,29,36138.0,1,669.0,48,1,0,1,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0
81,4452,45,50388.0,1,371.0,3,0,1,0,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1
82,8504,41,79593.0,1,361.0,70,1,1,0,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0
83,771,51,54178.0,0,414.0,79,1,1,0,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
84,11178,27,42394.0,0,124.0,69,0,0,1,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
85,2230,54,23626.0,2,322.0,84,1,0,1,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
86,7516,44,30096.0,2,348.0,30,1,1,0,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
87,7247,57,47916.0,1,32.0,72,0,1,0,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0
88,11100,41,51813.0,0,48.0,37,0,1,0,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
89,4646,47,78497.0,1,159.0,44,1,0,0,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
90,3037,57,50150.0,3,587.0,32,1,0,1,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
91,1473,57,47823.0,2,33.0,0,0,0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
92,1016,41,34554.0,0,218.0,43,0,0,1,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
93,4518,42,85693.0,1,98.0,59,1,1,0,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
94,9370,44,65846.0,1,36.0,68,1,0,1,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0
95,8908,31,87195.0,1,38.0,35,1,1,0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1
96,8373,54,24594.0,1,584.0,94,1,0,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0
97,7533,42,49096.0,2,444.0,15,1,1,0,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
98,2683,63,52413.0,0,210.0,56,1,1,0,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
99,3629,31,38557.0,0,374.0,17,0,1,0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
100,10991,54,89058.0,1,341.0,18,1,0,1,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
101,5077,55,77298.0,1,91.0,46,1,1,0,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
102,7431,35,68126.0,1,435.0,40,0,0,1,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1
103,3267,69,57288.0,0,408.0,27,1,0,1,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0
104,999,55,86037.0,0,52.0,95,0,1,0,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1
105,9215,35,43974.0,1,201.0,19,1,0,1,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
106,2286,50,50785.0,2,278.0,27,0,1,0,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
107,1592,45,90765.0,2,512.0,25,1,1,0,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0
108,367,36,36550.0,1,557.0,74,1,0,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0
109,5234,54,30753.0,0,569.0,85,1,0,0,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
110,9862,35,21918.0,1,239.0,37,1,1,0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
111,9805,23,56129.0,0,596.0,65,1,0,1,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
112,6205,51,32557.0,1,4.0,13,0,0,1,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1
113,8442,23,19510.0,0,543.0,63,1,0,1,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
114,7386,34,30992.0,1,564.0,83,0,1,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
115,7215,52,101970.0,2,292.0,69,0,1,0,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1
116,1491,44,71488.0,0,156.0,87,1,0,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
117,11071,36,79607.0,1,495.0,37,0,1,0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1
118,3381,47,54348.0,2,353.0,51,1,0,1,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
119,11051,45,77376.0,1,227.0,72,1,0,1,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
120,8026,61,62998.0,1,374.0,10,1,1,0,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0
121,433,47,61331.0,1,125.0,42,0,0,1,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
122,9597,29,73448.0,2,298.0,10,1,1,0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
123,5290,38,41551.0,1,433.0,51,1,0,1,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
124,1685,31,62981.0,0,474.0,21,1,0,1,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0
125,5342,49,9548.0,0,496.0,31,0,0,0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
126,9579,30,33762.0,0,434.0,61,1,0,1,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0
127,7660,61,35860.0,2,21.0,37,0,0,1,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1
128,1461,53,36921.0,1,353.0,74,0,0,1,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0
129,821,58,92859.0,2,50.0,46,0,0,1,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
130,11084,62,65104.0,1,272.0,4,1,0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1
131,8690,56,86111.0,2,476.0,73,1,1,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
132,2937,45,68352.0,0,139.0,47,0,0,1,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
133,9701,51,41883.0,1,322.0,13,1,1,0,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
134,9949,50,59809.0,2,319.0,36,1,1,0,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
135,10837,47,23957.0,0,469.0,47,1,1,0,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1
136,3120,38,38547.0,1,690.0,49,1,1,0,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0
137,5885,55,35688.0,3,357.0,94,1,0,0,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
138,4050,41,49605.0,2,41.0,65,1,0,1,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
139,3830,49,59354.0,2,336.0,59,1,0,1,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
140,7987,22,65747.0,0,618.0,96,1,1,0,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0
141,7798,38,46344.0,1,227.0,28,1,0,0,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
142,92,52,34176.0,0,436.0,12,0,1,0,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
143,7055,40,61010.0,1,305.0,57,1,0,1,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
144,10240,26,69372.0,1,467.0,10,1,1,0,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1
145,3025,38,49967.0,2,619.0,4,0,1,0,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
146,9283,39,60199.0,1,609.0,49,0,1,0,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
147,9970,33,55375.0,1,305.0,3,1,1,0,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
148,2730,41,80317.0,3,676.0,64,0,1,0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0
149,2795,48,30523.0,0,8.0,0,0,0,1,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
150,9260,61,70356.0,2,66.0,20,1,0,1,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
151,8182,45,23228.0,1,114.0,91,1,1,0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
152,10095,42,74165.0,1,562.0,9,0,0,1,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
153,8475,26,157243.0,1,48.0,98,1,0,1,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0
154,4370,62,43482.0,1,628.0,83,1,1,0,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
155,10573,65,62551.0,0,495.0,27,0,1,0,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0
156,3712,56,52332.0,1,356.0,63,0,1,0,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0
157,6637,36,66951.0,3,290.0,46,0,1,0,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
158,3152,37,26091.0,1,255.0,84,1,1,0,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
159,5610,59,33456.0,0,313.0,58,1,1,0,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
160,6460,56,28718.0,3,363.0,78,1,1,0,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
161,1349,69,50447.0,0,601.0,4,1,1,0,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
162,1880,30,53537.0,1,175.0,17,1,0,1,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
163,641,39,52074.0,0,424.0,77,0,1,0,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0
164,8717,41,80427.0,1,120.0,56,1,0,1,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
165,10314,48,83837.0,3,228.0,79,1,0,1,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1
166,10854,61,38853.0,0,223.0,90,1,0,1,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0
167,10492,55,38285.0,0,305.0,96,1,1,0,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
168,6935,26,78497.0,0,239.0,44,1,0,0,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
169,7698,57,51650.0,2,124.0,81,1,0,1,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0
170,3559,49,16248.0,2,69.0,77,1,0,0,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0
171,10562,32,66835.0,1,351.0,21,1,0,1,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
172,10796,44,30477.0,2,69.0,16,1,0,1,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0
173,2563,55,28249.0,2,150.0,80,1,0,0,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0
174,3518,47,25271.0,1,86.0,45,1,1,0,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
175,5823,39,32303.0,1,655.0,63,0,0,1,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0
176,3934,66,61286.0,0,560.0,34,1,1,0,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0
177,6982,44,74068.0,2,37.0,14,1,1,0,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0
178,6431,55,45759.0,3,5.0,13,1,0,1,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0
179,9733,63,24882.0,0,210.0,52,1,0,0,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0
180,5602,38,66973.0,1,49.0,98,1,0,1,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0
181,7829,26,36640.0,1,50.0,99,0,0,0,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0
182,1324,68,38872.0,0,274.0,93,1,1,0,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0
183,326,30,51148.0,1,158.0,38,1,1,0,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0
184,7224,53,31353.0,0,14.0,24,1,1,0,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0
185,6999,31,69661.0,1,571.0,80,1,0,1,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0
186,9938,44,80067.0,1,113.0,82,1,1,0,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0
187,6422,48,86718.0,1,331.0,20,1,1,0,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
188,3182,38,46854.0,0,467.0,81,0,0,1,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1
189,7300,50,69142.0,2,491.0,50,0,1,0,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0
190,10424,36,75922.0,1,658.0,60,0,1,0,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0
191,8727,25,63693.0,0,408.0,63,0,1,0,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0
192,2798,114,102160.0,1,276.0,54,1,0,1,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1
193,1030,26,40637.0,1,395.0,72,0,0,1,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0
194,624,41,18890.0,2,496.0,5,0,0,1,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1
195,5176,37,29604.0,2,182.0,88,1,1,0,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0
196,5552,34,48721.0,0,47.0,50,0,0,1,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0
197,868,60,44794.0,0,283.0,99,1,1,0,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0
198,380,60,64497.0,0,528.0,17,0,1,0,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1
199,2677,41,46097.0,2,90.0,11,1,1,0,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0
200,6521,62,77972.0,1,0.0,18,1,1,0,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0
201,6927,46,44377.0,0,202.0,70,1,0,1,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0
202,2877,36,46014.0,1,258.0,21,1,0,1,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0
203,0,37,70951.0,0,604.0,66,1,1,0,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0
204,1584,49,41443.0,2,347.0,79,1,1,0,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0
205,7264,30,52195.0,0,596.0,2,0,0,0,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
206,6274,26,83790.0,1,203.0,81,1,0,1,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0
207,1377,51,44551.0,2,412.0,24,0,0,1,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0
208,454,48,69508.0,1,21.0,48,1,1,0,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0
209,1755,60,45204.0,1,657.0,93,1,0,0,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0
210,2075,58,72460.0,1,455.0,56,1,1,0,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0
211,4785,60,77622.0,0,103.0,3,1,0,1,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0
212,9076,46,30732.0,2,632.0,44,1,0,1,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0
213,7079,40,63887.0,2,524.0,38,0,1,0,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0
214,4653,29,42011.0,0,421.0,46,1,1,0,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0
215,7375,37,51369.0,1,89.0,84,1,1,0,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
216,709,36,51537.0,3,48.0,27,0,1,0,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0
217,460,66,79930.0,0,226.0,72,1,0,1,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0
218,3726,60,34320.0,1,302.0,66,1,0,1,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0
